type,nmax,nsteps,temp,order,threads,time
numpy_sequential,200,50,0.5,0.2780967505620379,1,11.229403734207153
numpy_sequential,200,50,0.5,0.28876531400811584,1,11.120168685913086
numpy_sequential,200,50,0.5,0.3057921116727275,1,11.059139728546143
numpy_sequential,200,50,0.5,0.2667031338202684,1,11.114185333251953
numpy_sequential,400,50,0.5,0.2539545325541783,1,44.9658739566803
numpy_sequential,400,50,0.5,0.2598285817618282,1,45.095455169677734
numpy_sequential,400,50,0.5,0.2563016441232287,1,45.40011811256409
numpy_sequential,400,50,0.5,0.2755394710916646,1,45.62118363380432
numpy_sequential,400,50,0.5,0.25986037323264627,1,45.25411796569824
numpy_sequential,50,50,0.5,0.31400181699341523,1,0.7356462478637695
numba,10,50,0.5,0.5329764885067543,1,0.0015599727630615234
numba,10,50,0.5,0.7643235565624825,1,0.002031087875366211
numba,10,50,0.5,0.8004817207461964,1,0.0020303726196289062
numba,10,50,0.5,0.8611184133976932,1,0.0025687217712402344
numba,10,50,0.5,0.8818347661701877,1,0.0020246505737304688
numba,50,50,0.5,0.37405388579848475,1,0.033125877380371094
numba,50,50,0.5,0.39555356395334423,1,0.033724308013916016
numba,50,50,0.5,0.32621830059537155,1,0.03362536430358887
numba,50,50,0.5,0.3047281228557778,1,0.03366732597351074
numba,50,50,0.5,0.41000260026532154,1,0.03322577476501465
numba,100,50,0.5,0.29262487291463873,1,0.13449430465698242
numba,100,50,0.5,0.2704997315597494,1,0.1479663848876953
numba,100,50,0.5,0.2969639136396853,1,0.13405656814575195
numba,100,50,0.5,0.2784453793864843,1,0.13397955894470215
numba,200,50,0.5,0.25680101606391853,1,0.5816655158996582
numba,200,50,0.5,0.29569915291316173,1,0.5621414184570312
numba,200,50,0.5,0.26878372173824644,1,0.5641491413116455
numba,200,50,0.5,0.2635401659404078,1,0.5664966106414795
numba,200,50,0.5,0.2728647849933797,1,0.5730612277984619
numba,400,50,0.5,0.267207725202355,1,2.257766008377075
numba,400,50,0.5,0.2582556999274394,1,2.2816407680511475
numba,400,50,0.5,0.2594166525800892,1,2.2545175552368164
numba,400,50,0.5,0.269313948104136,1,2.2610695362091064
numba,400,50,0.5,0.26281147737413024,1,2.2660300731658936
numba,800,50,0.5,0.258728684498055,1,9.388681650161743
numba,800,50,0.5,0.2572946768308764,1,9.312491416931152
numba,800,50,0.5,0.25757399205001863,1,9.214285612106323
numba,800,50,0.5,0.25759997554799585,1,9.535456657409668
numba,800,50,0.5,0.2516510905934673,1,9.282181978225708
cython,10,50,0.5,0.5586860047661523,1,0.004010915756225586
cython,10,50,0.5,0.7398157864982635,1,0.004547119140625
cython,10,50,0.5,0.7887727651278589,1,0.003985404968261719
cython,10,50,0.5,0.8050784741403909,1,0.004570960998535156
cython,10,50,0.5,0.5208528071210312,1,0.004034757614135742
cython,50,50,0.5,0.29757838638477796,1,0.03411054611206055
cython,50,50,0.5,0.2833314844768612,1,0.038655757904052734
cython,50,50,0.5,0.2621815217023048,1,0.03811812400817871
cython,50,50,0.5,0.4033269654201085,1,0.03366732597351074
cython,50,50,0.5,0.28708587028839844,1,0.03765439987182617
cython,100,50,0.5,0.30276932882274254,1,0.12696385383605957
cython,100,50,0.5,0.27990038733038464,1,0.13092851638793945
cython,100,50,0.5,0.2968993730952671,1,0.12790536880493164
cython,100,50,0.5,0.3141727031356803,1,0.12580132484436035
cython,100,50,0.5,0.31527905526655847,1,0.12904739379882812
cython,200,50,0.5,0.27755397480210786,1,0.558408260345459
cython,200,50,0.5,0.2542813912463416,1,0.5438072681427002
cython,200,50,0.5,0.26678072921283413,1,0.5377216339111328
