#=====================================================
# File created:        Tue-29-Oct-2024-at-02-19-08PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.157297
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00182    0.4160   -8333.8591  0.3516 
   00183    0.3860   -8324.4312  0.3521 
   00184    0.4264   -8368.0192  0.3589 
   00185    0.4300   -8359.6767  0.3607 
   00186    0.4336   -8347.6886  0.3572 
   00187    0.3988   -8308.2224  0.3536 
   00188    0.4236   -8318.6517  0.3563 
   00189    0.4364   -8303.1553  0.3473 
   00190    0.4164   -8290.9064  0.3512 
   00191    0.3952   -8337.9566  0.3449 
   00192    0.4108   -8314.4680  0.3511 
   00193    0.4228   -8271.7121  0.3454 
   00194    0.4100   -8304.8986  0.3435 
   00195    0.4240   -8286.1850  0.3361 
   00196    0.4208   -8296.6804  0.3348 
   00197    0.4288   -8287.4230  0.3384 
   00198    0.4104   -8345.0505  0.3396 
   00199    0.4016   -8317.4987  0.3463 
   00200    0.4268   -8326.3900  0.3447 
