         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.000    0.000    0.011    0.000 contextlib.py:132(__enter__)
    54380    0.011    0.000    0.011    0.000 {built-in method builtins.min}
       32    0.010    0.000    0.011    0.000 {built-in method io.open}
     4252    0.005    0.000    0.010    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.010    0.010 __init__.py:240(_check_versions)
    58604    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
  985/199    0.005    0.000    0.010    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.010    0.010 font_manager.py:1(<module>)
      875    0.007    0.000    0.010    0.000 inspect.py:2955(__init__)
2803/2393    0.004    0.000    0.010    0.000 {built-in method __new__ of type object at 0x00007FF82A5CC4C0}
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
        2    0.000    0.000    0.010    0.005 __init__.py:12(__getattr__)
        1    0.000    0.000    0.010    0.010 axis3d.py:1(<module>)
        1    0.000    0.000    0.010    0.010 scale.py:1(<module>)
15506/15493    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.009    0.009 quiver.py:1(<module>)
       28    0.001    0.000    0.009    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
       48    0.000    0.000    0.009    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 PngImagePlugin.py:1(<module>)
    77827    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.008    0.008 __init__.py:32(__enter__)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _secondary_axes.py:1(<module>)
      565    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
       18    0.000    0.000    0.008    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.008    0.008 common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
      297    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
